,Date,Now_price,Date_after,After_price
104,2018-05-21,220.46,2018-05-26,215.48000000000002
105,2018-05-17,220.95,2018-05-22,220.62333333333333
106,2018-05-10,222.39,2018-05-15,218.85666666666665
107,2018-04-29,215.16,2018-05-04,219.01666666666665
108,2018-04-27,215.16,2018-05-02,214.51666666666665
109,2018-04-21,214.19,2018-04-26,216.2833333333333
110,2018-04-20,217.09,2018-04-25,215.64
111,2018-04-19,219.02,2018-04-24,216.76666666666665
112,2018-03-30,235.42,2018-04-04,236.54333333333332
113,2018-03-29,237.83,2018-04-03,237.35
114,2018-03-27,238.8,2018-04-01,237.99333333333334
115,2018-03-19,236.38,2018-03-24,237.98999999999998
116,2018-03-16,243.62,2018-03-21,237.99333333333334
117,2018-03-09,247.96,2018-03-14,246.03
118,2018-02-14,228.18,2018-02-19,233.81000000000003
119,2018-02-09,224.32,2018-02-14,227.53666666666666
120,2018-01-23,246.03,2018-01-28,248.92333333333332
121,2018-01-22,248.93,2018-01-27,246.83333333333334
122,2018-01-18,256.65,2018-01-23,247.96333333333337
123,2018-01-17,252.3,2018-01-22,251.50333333333333
124,2018-01-15,246.52,2018-01-20,252.62666666666667
125,2017-12-28,224.32,2018-01-02,230.43666666666664
126,2017-12-25,221.43,2017-12-30,228.0233333333333
127,2017-12-22,217.09,2017-12-27,218.85666666666668
128,2017-12-19,219.5,2017-12-24,217.73000000000002
129,2017-12-09,222.39,2017-12-14,219.34
130,2017-12-08,219.02,2017-12-13,221.10666666666665
131,2017-11-30,221.43,2017-12-05,218.86
132,2017-11-27,222.88,2017-12-02,219.66333333333333
133,2017-11-17,233.49,2017-11-22,232.68666666666664
134,2017-11-15,230.11,2017-11-20,234.29333333333332
135,2017-10-23,230.6,2017-10-28,233.65
136,2017-10-12,227.22,2017-10-17,229.63333333333333
137,2017-10-11,229.63,2017-10-16,228.99
138,2017-10-06,224.81,2017-10-11,229.30999999999997
139,2017-10-04,216.61,2017-10-09,227.70333333333335
140,2017-10-03,216.61,2017-10-08,223.52333333333334
141,2017-09-30,214.68,2017-10-05,215.9666666666667
142,2017-09-29,212.75,2017-10-04,214.67999999999998
143,2017-09-24,208.89,2017-09-29,212.10666666666665
144,2017-09-22,207.44,2017-09-27,210.17666666666665
145,2017-09-07,211.3,2017-09-12,210.65666666666667
146,2017-09-06,209.37,2017-09-11,210.8166666666667
147,2017-08-18,207.92,2017-08-23,209.20666666666668
148,2017-08-14,205.03,2017-08-19,208.08333333333334
149,2017-08-08,205.03,2017-08-13,205.67
150,2017-07-28,208.4,2017-08-02,206.63333333333333
151,2017-07-11,205.51,2017-07-16,207.11666666666667
152,2017-07-04,198.76,2017-07-09,205.19000000000003
153,2017-07-03,200.2,2017-07-08,204.87
154,2017-06-29,199.72,2017-07-04,200.04333333333332
155,2017-06-26,201.17,2017-07-01,200.36333333333334
156,2017-06-24,202.62,2017-06-29,200.84666666666666
157,2017-06-09,193.28,2017-06-14,196.85666666666668
158,2017-06-08,194.21,2017-06-13,194.99
159,2017-05-26,189.54,2017-05-31,196.08333333333334
160,2017-05-24,193.28,2017-05-29,194.52666666666667
161,2017-05-12,190.48,2017-05-17,190.32000000000002
162,2017-05-10,192.34,2017-05-15,190.01
163,2017-05-09,192.34,2017-05-14,190.4766666666667
164,2017-05-04,190.01,2017-05-09,192.65666666666667
165,2017-05-02,184.41,2017-05-07,191.88
166,2017-04-14,174.14,2017-04-19,176.47333333333333
167,2017-04-13,175.54,2017-04-18,175.38333333333333
168,2017-04-10,176.47,2017-04-15,174.76
169,2017-03-22,180.21,2017-03-27,178.02999999999997
170,2017-03-21,179.74,2017-03-26,179.74333333333334
171,2017-02-24,173.67,2017-03-01,172.26999999999998
172,2017-02-10,176.47,2017-02-15,177.09666666666666
173,2017-02-07,173.2,2017-02-12,176.62666666666667
174,2017-02-02,172.27,2017-02-07,172.11333333333334
175,2017-01-13,169.0,2017-01-18,170.09
176,2017-01-04,171.8,2017-01-09,170.56
177,2016-12-28,169.47,2017-01-02,171.33666666666667
178,2016-12-10,174.6,2016-12-15,171.17999999999998
179,2016-12-07,172.74,2016-12-12,174.13666666666668
